work_year,experience_level,employment_type,job_title,salary,salary_currency,salary_in_usd,employee_residence,work_setting,company_location,company_size,job_category
2024,Entry-level,Freelance,Applied Data Scientist,30000,USD,30000,United Kingdom,Remote,United Kingdom,M,Data Science and Research
2024,Executive,Full-time,Business Intelligence,230000,USD,230000,United States,In-person,United States,M,BI and Visualization
2024,Executive,Full-time,Business Intelligence,176900,USD,176900,United States,In-person,United States,M,BI and Visualization
2024,Senior,Full-time,Data Architect,171210,USD,171210,Canada,In-person,Canada,M,Data Architecture and Modeling
2024,Senior,Full-time,Data Architect,92190,USD,92190,Canada,In-person,Canada,M,Data Architecture and Modeling
2024,Mid-level,Full-time,Data Science,46203,GBP,57753,United Kingdom,In-person,United Kingdom,M,Data Science and Research
2024,Mid-level,Full-time,Data Science,38280,GBP,47850,United Kingdom,In-person,United Kingdom,M,Data Science and Research
2024,Entry-level,Full-time,Insight Analyst,50000,USD,50000,United States,Remote,United States,M,Data Analysis
2024,Entry-level,Full-time,Insight Analyst,40000,USD,40000,United States,Remote,United States,M,Data Analysis
2024,Senior,Full-time,Data Engineer,276000,USD,276000,United States,In-person,United States,M,Data Engineering
2024,Senior,Full-time,Data Engineer,148000,USD,148000,United States,In-person,United States,M,Data Engineering
2024,Senior,Full-time,Research Scientist,234000,USD,234000,United States,In-person,United States,M,Data Science and Research
2024,Senior,Full-time,Research Scientist,146000,USD,146000,United States,In-person,United States,M,Data Science and Research
2024,Entry-level,Full-time,Business Intelligence Analyst,192300,USD,192300,United States,In-person,United States,M,BI and Visualization
2024,Entry-level,Full-time,Business Intelligence Analyst,120200,USD,120200,United States,In-person,United States,M,BI and Visualization
2024,Entry-level,Full-time,Analytics Engineer,132500,USD,132500,United States,In-person,United States,M,Leadership and Management
2024,Entry-level,Full-time,Analytics Engineer,111500,USD,111500,United States,In-person,United States,M,Leadership and Management
2024,Entry-level,Full-time,Data Engineer,234000,USD,234000,United States,In-person,United States,M,Data Engineering
2024,Entry-level,Full-time,Data Engineer,146000,USD,146000,United States,In-person,United States,M,Data Engineering
2024,Senior,Full-time,Data Scientist,322000,USD,322000,United States,In-person,United States,M,Data Science and Research
2024,Senior,Full-time,Data Scientist,168000,USD,168000,United States,In-person,United States,M,Data Science and Research
2024,Mid-level,Full-time,Data Scientist,152000,USD,152000,Canada,In-person,Canada,M,Data Science and Research
2024,Mid-level,Full-time,Data Scientist,98000,USD,98000,Canada,In-person,Canada,M,Data Science and Research
2024,Senior,Full-time,Research Engineer,138000,USD,138000,United States,In-person,United States,M,Data Science and Research
2024,Senior,Full-time,Research Engineer,86000,USD,86000,United States,In-person,United States,M,Data Science and Research
2024,Senior,Full-time,Data Science,268700,USD,268700,United States,In-person,United States,M,Data Science and Research
2024,Senior,Full-time,Data Science,130300,USD,130300,United States,In-person,United States,M,Data Science and Research
2024,Senior,Full-time,BI Developer,60000,GBP,75000,United Kingdom,In-person,United Kingdom,M,BI and Visualization
2024,Senior,Full-time,BI Developer,40000,GBP,50000,United Kingdom,In-person,United Kingdom,M,BI and Visualization
2024,Senior,Full-time,Data Analyst,115000,USD,115000,United States,In-person,United States,M,Data Analysis
2024,Senior,Full-time,Data Analyst,105000,USD,105000,United States,In-person,United States,M,Data Analysis
2024,Senior,Full-time,Data Scientist,80000,GBP,100000,United Kingdom,In-person,United Kingdom,M,Data Science and Research
2024,Senior,Full-time,Data Scientist,70000,GBP,87500,United Kingdom,In-person,United Kingdom,M,Data Science and Research
2024,Senior,Full-time,Business Intelligence Engineer,156476,USD,156476,United States,Remote,United States,M,BI and Visualization
2024,Senior,Full-time,Business Intelligence Engineer,104981,USD,104981,United States,Remote,United States,M,BI and Visualization
2024,Mid-level,Full-time,Data Engineer,146000,USD,146000,United States,Remote,United States,M,Data Engineering
